brand,family,model
aastra,4xxx,480i
aastra,67xx,673x
aastra,67xx,675x
aastra,68xx,686x
aastra,91xxx,9112i
aastra,91xxx,9133i
acrobits,default,default
algo,81xx,8103
algo,81xx,8180
algo,81xx,8186
algo,81xx,8188
algo,81xx,8189
algo,81xx,8196
algo,81xx,8301
atcom,agxxx,ag198
avaya,j100,J139
avaya,j100,J169
avaya,j100,J179
avaya,j100,J189
cisco,cp,7940
cisco,cp,7960
cisco,cp,79x1
cisco,cp,8811
cisco,cp,8832
cisco,cp,8841
cisco,cp,8845
cisco,cp,8851
cisco,cp,8861
cisco,cp,8865
cisco,cp,9861
cisco,spa,spa112
cisco,spa,spa122
cisco,spa,spa191
cisco,spa,spa192
cisco,spa,spa301
cisco,spa,spa303
cisco,spa,spa501g
cisco,spa,spa502g
cisco,spa,spa504g
cisco,spa,spa508g
cisco,spa,spa509g
cisco,spa,spa512g
cisco,spa,spa514g
cisco,spa,spa525g
cisco,spa,spa525g2
digium,d4x,d40
digium,d5x,d50
digium,d6x,d60
digium,d6x,d62
digium,d6x,d65
digium,d7x,d70
escene,e3xx,e3xx
fanvil,hx,h2u-v2
fanvil,hx,h5
fanvil,I,i30
fanvil,v,v62
fanvil,v,v62-pro
fanvil,v,v63
fanvil,v,v64
fanvil,v,v65
fanvil,v,v67
fanvil,w6xx,w611w
fanvil,x1x,x1s
fanvil,x1x,x1sg
fanvil,x1x,x1sp
fanvil,x2x,x210
fanvil,x2x,x2p
fanvil,x3x,x3g
fanvil,x3x,x3sg
fanvil,x3x,x3sp
fanvil,x3x,x3sw
fanvil,x3x,x3u
fanvil,x3x,x3u-pro
fanvil,x4x,x4
fanvil,x4x,x4g
fanvil,x4x,x4sg
fanvil,x4x,x4u
fanvil,x5x,x5s
fanvil,x5x,x5u
fanvil,x6x,x6
fanvil,x6x,x6u
fanvil,x7x,x7
fanvil,x7x,x7a
fanvil,x7x,x7c
flyingvoice,audiokit,audiokit
flyingvoice,fip,fip10
flyingvoice,fip,fip11c
flyingvoice,fip,fip12wp
flyingvoice,fip,fip13g
flyingvoice,fip,fip14g
flyingvoice,fip,fip15g
flyingvoice,fip,fip16
flyingvoice,fip,fip16plus
flyingvoice,i86x,i86box
flyingvoice,metalbox,imetalbox
flyingvoice,p,p10
flyingvoice,p,p10g
flyingvoice,p,p10lte
flyingvoice,p,p10p
flyingvoice,p,p10w
flyingvoice,p,p11
flyingvoice,p,p11g
flyingvoice,p,p11lte
flyingvoice,p,p11p
flyingvoice,p,p11w
flyingvoice,p,p20
flyingvoice,p,p20g
flyingvoice,p,p20p
flyingvoice,p,p20w
flyingvoice,p,p21
flyingvoice,p,p21p
flyingvoice,p,p21w
flyingvoice,p,p22g
flyingvoice,p,p22p
flyingvoice,p,p23g
flyingvoice,p,p23gw
flyingvoice,p,p24gw
flyingvoice,p,p33
flyingvoice,p,p33g
flyingvoice,p,p33p
flyingvoice,p,p510
flyingvoice,p,p53
flyingvoice,p,p54
flyingvoice,p,p55
flyingvoice,p,p57
flyingvoice,p,p58
grandstream,dp,dp715
grandstream,dp,dp715.sm
grandstream,dp,dp750
grandstream,gac,gac2500
grandstream,gds,gds3705
grandstream,gds,gds3710
grandstream,ghp,ghp6xx
grandstream,grp,grp2612
grandstream,grp,grp2612w
grandstream,grp,grp2613
grandstream,grp,grp2614
grandstream,grp,grp2615
grandstream,grp,grp2616
grandstream,grp,grp261x
grandstream,grp,grp26xx
grandstream,gswave,gswave
grandstream,gxp,gxp110x
grandstream,gxp,gxp116x
grandstream,gxp,gxp140x
grandstream,gxp,gxp140xbk
grandstream,gxp,gxp1450
grandstream,gxp,gxp1450bk
grandstream,gxp,gxp16xx
grandstream,gxp,gxp17xx
grandstream,gxp,gxp20xx
grandstream,gxp,gxp2100
grandstream,gxp,gxp2124
grandstream,gxp,gxp2130
grandstream,gxp,gxp2135
grandstream,gxp,gxp2140
grandstream,gxp,gxp2160
grandstream,gxp,gxp2170
grandstream,gxp,gxp21xx
grandstream,gxp,gxp21xxbk
grandstream,gxp,gxp2200
grandstream,gxp,gxp3240
grandstream,gxv,gxv300x
grandstream,gxv,gxv3140
grandstream,gxv,gxv3175
grandstream,gxv,gxv3175v2
grandstream,gxv,gxv3240
grandstream,gxv,gxv3275
grandstream,gxv,gxv3370
grandstream,gxv,gxv3480
grandstream,gxv,gxv3504
grandstream,gxw,gxw4004
grandstream,gxw,gxw4008
grandstream,gxw,gxw40xx
grandstream,gxw,gxw410x
grandstream,gxw,gxw42xx
grandstream,ht,ht502
grandstream,ht,ht503
grandstream,ht,ht701
grandstream,ht,ht702
grandstream,ht,ht704
grandstream,ht,ht801
grandstream,ht,ht802
grandstream,ht,ht813
grandstream,ht,ht814
grandstream,ht,ht818
grandstream,ht,ht8x1
grandstream,ht,htx86
grandstream,wave,wave
grandstream,wp,wp810
grandstream,wp,wp820
grandstream,wp,wp826
grandstream,wp,wp8x6
groundwire,default,default
htek,uc9xx,uc903
htek,uc9xx,uc923
htek,uc9xx,uc924
htek,uc9xx,uc924u
htek,uc9xx,uc926
htek,uc9xx,uc926u
linksys,spa,spa2102
linksys,spa,spa3102
linksys,spa,spa921
linksys,spa,spa941
linksys,spa,spa942
linphone,default,default
mitel,53xx,5320
mitel,53xx,5320e
mitel,53xx,5324
mitel,53xx,5330
mitel,53xx,5330e
mitel,53xx,5340
obihai,obi,obi1032
obihai,obi,obi1062
obihai,obi,obi302
obihai,obi,obi310
panasonic,tgp,tgp500
panasonic,tgp,tgp550
panasonic,ut,ut113
panasonic,ut,ut123
panasonic,ut,ut133
panasonic,ut,ut136
panasonic,ut,ut670
panasonic,utg,utg200b
panasonic,utg,utg300b
polycom,3.x,3.x
polycom,4.x,4.x
polycom,5.x,5.x
polycom,ip,650
polycom,6.x,6.x
polycom,80xx,8030
polycom,ccx,ccx500
polycom,duo,duo
polycom,ip,ip321
polycom,ip,ip331
polycom,ip,ip335
polycom,ip,ip450
polycom,ip,ip5000
polycom,ip,ip550
polycom,ip,ip560
polycom,ip,ip6000
polycom,ip,ip650
polycom,ip,ip670
polycom,ip,ip7000
polycom,vvx,vvx101
polycom,vvx,vvx150
polycom,vvx,vvx1500
polycom,vvx,vvx201
polycom,vvx,vvx250
polycom,vvx,vvx300
polycom,vvx,vvx301
polycom,vvx,vvx310
polycom,vvx,vvx311
polycom,vvx,vvx350
polycom,vvx,vvx400
polycom,vvx,vvx401
polycom,vvx,vvx410
polycom,vvx,vvx411
polycom,vvx,vvx450
polycom,vvx,vvx500
polycom,vvx,vvx501
polycom,vvx,vvx600
polycom,vvx,vvx601
poly,edge,edge-e550
poly,vvx,poly-vvx-450
poly,vvx,poly-vvx-d230
